entidade;atributo;descricao
sinapses.Instant_Message;instant_message.source_app;Aplicativo usado para enviar a mensagem.
sinapses.Instant_Message;instant_message.source_file;Origem do arquivo da mensagem.
sinapses.Instant_Message;instant_message.source_ip_address;IP de origem da mensagem.
sinapses.Instant_Message;instant_message.source_port;Porta de rede usada no envio.
sinapses.Instant_Message;instant_message.status;Situação da mensagem, como enviada ou lida.
sinapses.Instant_Message;instant_message.target_ip_address;IP de destino da mensagem
sinapses.Instant_Message;instant_message.type;Tipo do conteúdo, como texto ou imagem.
sinapses.Instant_Message;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Biometria;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Biometria;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Biometria;base_entity.id;Identificador único da entidade dentro do sistema SNAP.
sinapses.Biometria;base_entity.secret;Chave secreta para operações de segurança interna e autenticação.
sinapses.Biometria;biometria.tipo;Tipo de informação biométrica representada.
sinapses.Biometria;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Biometria;biometria.valor;Representação codificada da informação biométrica.
sinapses.Remuneracao;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Remuneracao;remuneracao.abono_permanencia;Valor referente a abono permanência
sinapses.Remuneracao;remuneracao.adicionais;Valores adicionais inclusos na remuneração
sinapses.Remuneracao;remuneracao.ano;Ano referente ao recebimento da remuneração.
sinapses.Remuneracao;remuneracao.auxilios;Auxílios inclusos na remuneração
sinapses.Remuneracao;remuneracao.beneficios;Vantagens adicionais ao salário, como auxílio-alimentação e outros
sinapses.Remuneracao;remuneracao.bonificacao_de_ferias;Valor da Bonificação de Férias
sinapses.Remuneracao;remuneracao.valor_bruto;Valor bruto da remuneração
sinapses.Remuneracao;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Remuneracao;remuneracao.comissao_conselheiro;Remuneração extra que pode ser concedida a conselheiros, dependendo da área de atuação.
sinapses.Remuneracao;remuneracao.data_admissao;Data de início do contrato de trabalho.
sinapses.Remuneracao;remuneracao.descontoteto;Valor descontado devido a teto salarial
sinapses.Remuneracao;remuneracao.descontoslegais;Descontos legais
sinapses.Remuneracao;remuneracao.descontos_a_maior;Valores que foram descontados erroneamente e agora estão sendo restituídos.
sinapses.Remuneracao;remuneracao.empresa_pagadora;Empresa pagadora
sinapses.Remuneracao;remuneracao.ferias_ou_decimo_terceiro;Valores de Férias e/ou Décimo Terceiro inclusos na remuneração
sinapses.Remuneracao;remuneracao.fonte_pagadora;Fonte pagadora desta remuneração
sinapses.Remuneracao;base_entity.id;Identificador único da entidade dentro do sistema SNAP.
sinapses.Remuneracao;remuneracao.imposto_de_renda;Desconto de Imposto de Renda
sinapses.Remuneracao;remuneracao.irrf;IRRF (Imposto de Renda Retido na Fonte): Desconto obrigatório relativo ao imposto de renda.
sinapses.Remuneracao;remuneracao.legaldevida;Remuneração Legal Devida
sinapses.Remuneracao;remuneracao.totaldevida;Valor total da remuneração
sinapses.Remuneracao;remuneracao.licenca_premio;Benefício concedido ao servidor após certo período de serviço.
sinapses.Remuneracao;remuneracao.remuneracao_liquida;Valor líquido da remuneração.
sinapses.Remuneracao;remuneracao.mes;Mês referente ao recebimento da remuneração.
sinapses.Remuneracao;remuneracao.mes_ano;Data do recebimento da remuneração
sinapses.Remuneracao;remuneracao.outros_descontos;Valores de descontos diversos inclusos na remuneração
sinapses.Remuneracao;remuneracao.outros_recebimentos;Valores adicionais não incluídos nas categorias anteriores.
sinapses.Remuneracao;remuneracao.outros_valores;Outros valores inclusos na remuneração
sinapses.Remuneracao;remuneracao.pagamentos_a_maior;Valores que foram pagos erroneamente e agora estão sendo descontados.
sinapses.Remuneracao;remuneracao.previdencia;Desconto previdenciário
sinapses.Remuneracao;remuneracao.redutor;Redutor salarial
sinapses.Remuneracao;base_entity.secret;Chave secreta para operações de segurança interna e autenticação.
sinapses.Remuneracao;remuneracao.seg_social;Desconto referente à contribuição previdenciária do servidor.
sinapses.Remuneracao;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Remuneracao;remuneracao.valor;Valor da remuneração
sinapses.Remuneracao;remuneracao.valor_da_funcao;Montante adicional relacionado à função específica desempenhada pelo servidor.
sinapses.Remuneracao;remuneracao.valor_hora_extra;Valor pago pelo tempo de trabalho que excede a carga horária regular estabelecida.
sinapses.Remuneracao;remuneracao.valores_reatroativos;Valores retroativos inclusos na remuneração
sinapses.Remuneracao;remuneracao.vencimento;Vencimento básico da remuneração
sinapses.Remuneracao;remuneracao.verbas_eventuais;Pagamentos não regulares que podem incluir indenizações, prêmios ou outras formas de reconhecimento.
sinapses.Remuneracao;remuneracao.verbas_judiciais;Valores decorrentes de decisões judiciais relacionadas à remuneração.
sinapses.Peticoes;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Peticoes;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Peticoes;peticoes.complemento;Informações adicionais à petição com o objetivo de fornecer detalhes mais específicos.
sinapses.Peticoes;peticoes.data_juntada;Cronologia do procedimento legal evidenciando a incorporação de documentos.
sinapses.Peticoes;peticoes.entrada;Registro de data que marca o recebimento oficial da petição pelo judiciário.
sinapses.Peticoes;base_entity.id;Identificador único da entidade dentro do sistema SNAP.
sinapses.Peticoes;peticoes.numero;Identificador sequencial do documento legal no repositório de petições.
sinapses.Peticoes;peticoes.partes;Relação dos indivíduos ou entidades legais envolvidos no processo.
sinapses.Peticoes;base_entity.secret;Marcação de acesso restrito indicando sensibilidade do conteúdo da petição.
sinapses.Peticoes;peticoes.tipo;Classificação da petição conforme o espectro jurídico aplicável.
sinapses.Peticoes;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.ContaBancaria;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.ContaBancaria;conta_bancaria.agencia;Identificador da filial bancária.
sinapses.ContaBancaria;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.ContaBancaria;conta_bancaria.dt_fim;Data de encerramento da conta.
sinapses.ContaBancaria;conta_bancaria.dt_inicio;Data de abertura da conta.
sinapses.ContaBancaria;base_entity.id;Identificador único da entidade dentro do sistema SNAP.
sinapses.ContaBancaria;conta_bancaria.nome_banco;Nome da instituição financeira.
sinapses.ContaBancaria;conta_bancaria.numero;Código único da conta na instituição.
sinapses.ContaBancaria;conta_bancaria.numero_banco;Código identificador do banco.
sinapses.ContaBancaria;conta_bancaria.secret;Código de segurança da conta.
sinapses.ContaBancaria;conta_bancaria.tipo;Categoria funcional da conta.
sinapses.ContaBancaria;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Prisioneiro;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Prisioneiro;pessoa.adactilia_d;Ausência de dedos na mão direita.
sinapses.Prisioneiro;pessoa.adactilia_e;Ausência de dedos na mão esquerda.
sinapses.Prisioneiro;pessoa.agencia;Nome da agência do banco do Servidor.
sinapses.Prisioneiro;pessoa.codigo_da_agencia;Código da agência do banco do Servidor..
sinapses.Prisioneiro;prisioneiro.alcunhas;Apelidos ou códigos usados para identificar o prisioneiro.
sinapses.Prisioneiro;pessoa.amputacao_d;Indica a amputação de um membro ou parte no lado direito.
sinapses.Prisioneiro;pessoa.amputacao_e;Indica a amputação de um membro ou parte no lado esquerda.
sinapses.Prisioneiro;pessoa.anquilose_d;-
sinapses.Prisioneiro;pessoa.anquilose_e;-
sinapses.Prisioneiro;pessoa.assinatura;Representa o estilo único de assinatura da pessoa.
sinapses.Prisioneiro;pessoa.associados;Pessoas associadas ao CPF buscado.
sinapses.Prisioneiro;pessoa.atividade_principal;Atividade econômica principal praticado pela pessoa ou empresa.
sinapses.Prisioneiro;pessoa.atividade_secundaria;Possível atividade secundária ou responsabilidade da pessoa.
sinapses.Prisioneiro;pessoa.data_de_atualizacao_do_cadastro;Data mais recente de atualização das informações de cadastro.
sinapses.Prisioneiro;pessoa.data_de_atualizacao_da_situacao_cadastral;Data mais recente de atualização da situação cadastral.
sinapses.Prisioneiro;pessoa.banco;Nome do banco no qual o sevidor é clente.
sinapses.Prisioneiro;pessoa.base_origem;Origem dos dados ou informações da pessoa.
sinapses.Prisioneiro;pessoa.biometria;Impressão digital usada para identificar biometricamente o eleitorado.
sinapses.Prisioneiro;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Prisioneiro;pessoa.cabelos;Cor, tipo ou estilo dos cabelos da pessoa.
sinapses.Prisioneiro;pessoa.capital_socio;Valor investido pela pessoa em uma sociedade empresarial.
sinapses.Prisioneiro;pessoa.cargo_em_sociedade;Cargo do sócio de uma empresa
sinapses.Prisioneiro;pessoa.cbo;Classificação Brasileira de Ocupações
sinapses.Prisioneiro;pessoa.certidao_militar;Registro oficial para cidadãos masculinos em serviço militar.
sinapses.Prisioneiro;pessoa.cicatriz_d;Presença de cicatriz no lado direito do corpo.
sinapses.Prisioneiro;pessoa.cicatriz_e;Presença de cicatriz no lado esquerda do corpo.
sinapses.Prisioneiro;pessoa.cicatrizes;Marcas distintas na pele.
sinapses.Prisioneiro;pessoa.cnae;Classificação Nacional de Atividades Econômicas (CNAE).
sinapses.Prisioneiro;pessoa.cnae_secundario;Classificação Nacional de Atividades Econômicas secundárias (CNAE).
sinapses.Prisioneiro;pessoa.cnh;Licença oficial para dirigir veículos no Brasil.
sinapses.Prisioneiro;pessoa.categoria_cnh;Categoria da Carteira Nacional de Habilitação, indicando o tipo de veículo que a pessoa está habilitada a dirigir.
sinapses.Prisioneiro;pessoa.data_primeira_emissao_cnh;Data em que a Carteira Nacional de Habilitação foi emitida pela primeira vez.
sinapses.Prisioneiro;pessoa.data_ultima_emissao_cnh;Data em que a Carteira Nacional de Habilitação foi emitida pela última vez.
sinapses.Prisioneiro;pessoa.cnh_dt_validade;Limite temporal de validade da licença de condução.
sinapses.Prisioneiro;pessoa.cnh_espelho;Dados detalhados da licença de motorista.
sinapses.Prisioneiro;pessoa.cnh_situacao_via;Estado atual do documento de habilitação.
sinapses.Prisioneiro;pessoa.cns;Cartão Nacional de Saúde
sinapses.Prisioneiro;pessoa.cod_ibge_uf;Código de 2 dígitos associados a um UF.
sinapses.Prisioneiro;pessoa.cod_posemis;
sinapses.Prisioneiro;pessoa.contador;Profissional de contabilidade responsável.
sinapses.Prisioneiro;pessoa.cpf;Cadastro Nacional de Pessoa Física
sinapses.Prisioneiro;pessoa.credenciamento;Indica se o indivíduo está credenciado ou registrada no sistema.
sinapses.Prisioneiro;credilink_label;Identificação específica da empresa no sistema de informações comerciais Credilink.
sinapses.Prisioneiro;pessoa.ctps;Carteira de Trabalho e Previdência Social
sinapses.Prisioneiro;pessoa.data_de_admissao;Data de admissão
sinapses.Prisioneiro;pessoa.data_atividade_comercial;Data associada a uma determinada transação comercial.
sinapses.Prisioneiro;pessoa.data_cadastramento;Data de cadastramento da pessoa.
sinapses.Prisioneiro;pessoa.data_expedicao_rg;Quando o documento de identidade foi emitido.
sinapses.Prisioneiro;pessoa.inicio_de_atividade;Data da assinatura do primeiro contrato social da empresa
sinapses.Prisioneiro;pessoa.data_de_início_em_sociedade;Data de entrada em uma sociedade
sinapses.Prisioneiro;pessoa.data_nascimento;Indica o dia, mês e ano em que a pessoa nasceu.
sinapses.Prisioneiro;pessoa.data_obito;Data registrada do falecimento.
sinapses.Prisioneiro;pessoa.data_outro_documento;Data em que o documento adicional foi emitido.
sinapses.Prisioneiro;prisioneiro.data_situacao;Quando o status prisional atual foi estabelecido.
sinapses.Prisioneiro;pessoa.dedo_amputado; Indica se existe amputação de algum dedo.
sinapses.Prisioneiro;pessoa.deposito_fechado;Armazenagem própria apenas para estoque do contribuinte e situada no mesmo Estado.
sinapses.Prisioneiro;pessoa.descricao_do_cnae;Descrição do CNAE.
sinapses.Prisioneiro;pessoa.descricao_cbo;Descrição da CBO
sinapses.Prisioneiro;pessoa.detalhes_inscricao_estadual;Apresenta informações específicas relacionadas à inscrição estadual.
sinapses.Prisioneiro;pessoa.dni;Documento Nacional de Identidade
sinapses.Prisioneiro;pessoa.doador;Indica se a pessoa é doadora de orgãos.
sinapses.Prisioneiro;pessoa.drr;Pontos de Presença da Receita Estadual (Secretaria da Fazenda)
sinapses.Prisioneiro;pessoa.data_situacao_cadastral;Data de alterações significativas no cadastro legal da pessoa ou empresa.
sinapses.Prisioneiro;pessoa.ectrodactilia_d;Malformação congênita presente na mão direita
sinapses.Prisioneiro;pessoa.ectrodactilia_e;Malformação congênita presente na mão esquerda.
sinapses.Prisioneiro;pessoa.e_mail;Contato eletrônico primário da pessoa para correspondências digitais.
sinapses.Prisioneiro;pessoa.matricula_employee;Identificador do indivíduo como funcionário em uma organização.
sinapses.Prisioneiro;pessoa.envio_de_arquivos_de_efd;Indica se há obrigatoriedade de envio dos arquivos da Escrituração Fiscal Digital (EFD) para a administração tributária.
sinapses.Prisioneiro;pessoa.escolaridade;Escolaridade da pessoa
sinapses.Prisioneiro;pessoa.estado_civil;Situação matrimonial atual da pessoa.
sinapses.Prisioneiro;pessoa.estatura;Altura da pessoa.
sinapses.Prisioneiro;base_entity.expandable;Valores a serem expandidos
sinapses.Prisioneiro;pessoa.faixa_etaria;Faixa etária.
sinapses.Prisioneiro;pessoa.fator_rh;Tipo de antígeno presente no sangue da pessoa.
sinapses.Prisioneiro;person.filepath;Caminho para um arquivo de referência
sinapses.Prisioneiro;pessoa.filhosmaiores;Informação sobre filhos da pessoa que são legalmente adultos.
sinapses.Prisioneiro;pessoa.filhosmenores;Informação sobre filhos da pessoa que ainda não são legalmente adultos.
sinapses.Prisioneiro;pessoa.filiacao;Nomes dos pais ou tutores.
sinapses.Prisioneiro;pessoa.formacao;Formação da pessoa
sinapses.Prisioneiro;pessoa.formulario_renach;Identificação do formulário do Registro Nacional de Condutores Habilitados.
sinapses.Prisioneiro;pessoa.grau_de_instrucao;Nível educacional do indivíduo.
sinapses.Prisioneiro;pessoa.grau_de_parentesco;Grau de parentesco com o alvo da busca
sinapses.Prisioneiro;pessoa.id_corpo;Número único para identificação de um corpo.
sinapses.Prisioneiro;person.id;Identificador único da entidade no sistema.
sinapses.Prisioneiro;pessoa.id_profissional;Número que identifica a pessoa em seu contexto profissional.
sinapses.Prisioneiro;pessoa.idade;Idade atual da pessoa.
sinapses.Prisioneiro;pessoa.idioma;Idioma falado ou conhecido pela pessoa.
sinapses.Prisioneiro;pessoa.impossivel_assinar;Indica se a pessoa tem alguma limitação que a impede de assinar documentos.
sinapses.Prisioneiro;pessoa.informacoes_adicionais;Dados complementares relevantes.
sinapses.Prisioneiro;pessoa.info_restricao;Restrições financeiras ou legais.
sinapses.Prisioneiro;person.ie;Inscrição Estadual associada
sinapses.Prisioneiro;label_default_key;Identificação padrão usada para categorizar ou marcar a pessoa.
sinapses.Prisioneiro;person.link;Endereço eletrônico associado à pessoa.
sinapses.Prisioneiro;pessoa.macrodactilia_d; Dedos anormalmente grandes na mão direita.
sinapses.Prisioneiro;pessoa.macrodactilia_e; Dedos anormalmente grandes na mão esquerda.
sinapses.Prisioneiro;pessoa.mae;Indica o nome completo da mãe da pessoa.
sinapses.Prisioneiro;pessoa.cpf;Cadastro Nacional de Pessoa Física
sinapses.Prisioneiro;pessoa.matricula;Identificador único em contextos educacionais ou corporativos.
sinapses.Prisioneiro;pessoa.media_credito;Média mensal das movimentações de crédito.
sinapses.Prisioneiro;pessoa.media_debito;Média mensal das movimentações de débito.
sinapses.Prisioneiro;pessoa.mei;Micro Empreendedor Individual
sinapses.Prisioneiro;pessoa.mei_caminhoneiro;Micro Empreendedor Individual - Caminhoneiro
sinapses.Prisioneiro;pessoa.microdactilia_d;Dedos anormalmente pequenos na mão direita.
sinapses.Prisioneiro;pessoa.microdactilia_e;Dedos anormalmente pequenos na mão esquerda.
sinapses.Prisioneiro;pessoa.motivo_da_restricao;Motivos de restrições financeiras ou legais.
sinapses.Prisioneiro;person.mp_virtual_code;Código virtual associado à pessoa no Ministério Público.
sinapses.Prisioneiro;pessoa.nacionalidade; País de origem ou cidadania da pessoa.
sinapses.Prisioneiro;pessoa.naturalidade;Cidade ou localidade onde a pessoa nasceu.
sinapses.Prisioneiro;pessoa.natureza_juridica;Natureza da relação entre o autônomo e seus clientes ou contratantes.
sinapses.Prisioneiro;pessoa.nome_anterior;Nome utilizado anteriormente pela pessoa
sinapses.Prisioneiro;person.fullname;Nome completo de uma Pessoa
sinapses.Prisioneiro;pessoa.nome_social;Autoidentificação da pessoa.
sinapses.Prisioneiro;pessoa.numero_outro_documento;Número específico do documento adicional mencionado.
sinapses.Prisioneiro;pessoa.numero_registro_sicri;Número de Registro no Sistema de Identificacao Criminal
sinapses.Prisioneiro;pessoa.aplicativo_nfpe;Número do documento NFP-e associado à Pessoa.
sinapses.Prisioneiro;pessoa.obito;Verifica se há registro de falecimento.
sinapses.Prisioneiro;pessoa.observacoes;Observações a respeito do indivíduo.
sinapses.Prisioneiro;pessoa.olhos;Cor ou características dos olhos da pessoa.
sinapses.Prisioneiro;pessoa.orgao_emissor_outro_documento;Entidade que emitiu o documento adicional.
sinapses.Prisioneiro;pessoa.orgao_emissor_rg;Instituição que emitiu o documento de identidade da pessoa.
sinapses.Prisioneiro;pessoa.outras_caracteristicas;Informações adicionais sobre características físicas.
sinapses.Prisioneiro;pessoa.outras_ocorrencias;Quantidade de outras ocorrências
sinapses.Prisioneiro;pessoa.outro_documento;Indica a presença de um documento adicional relevante.
sinapses.Prisioneiro;pessoa.outros;Engloba diferentes documentos adicionais relevantes para a pessoa.
sinapses.Prisioneiro;pessoa.pcd;Pessoa com deficiência
sinapses.Prisioneiro;pessoa.cadastro_do_paf_ecf;Indica se o indivíduo em questão tem o Programa Aplicativo Fiscal para o Emissor de Cupom Fiscal (PAF-ECF) cadastrado no sistema.
sinapses.Prisioneiro;pessoa.pai;Indica o nome completo do pai da pessoa.
sinapses.Prisioneiro;pessoa.pais_passaporte;País de origem do passaporte.
sinapses.Prisioneiro;pessoa.parentesco;Relação de parentesco da pessoa com outras entidades.
sinapses.Prisioneiro;pessoa.participacao;Refere-se ao papel ou posição que uma pessoa ocupa dentro da estrutura societária de uma empresa.
sinapses.Prisioneiro;pessoa.passaporte;Numero do Passaporte
sinapses.Prisioneiro;pessoa.pele;Descrição da tonalidade ou características da pele.
sinapses.Prisioneiro;pessoa.pena_imposta;Punição ou castigo imposto por lei a algum crime, delito ou contravenção.
sinapses.Prisioneiro;pessoa.peso;Massa corporal para identificação.
sinapses.Prisioneiro;pessoa.pgu;Identificador no documento de habilitação
sinapses.Prisioneiro;pessoa.pis;Número de registro no programa PIS/PASEP, importante para benefícios sociais e trabalhistas.
sinapses.Prisioneiro;pessoa.polidactilia_d;Presença de dedos extras na mão direita.
sinapses.Prisioneiro;pessoa.polidactilia_e;Presença de dedos extras na mão esquerda.
sinapses.Prisioneiro;pessoa.porte;Descrição física geral da pessoa, como porte atlético, magro, etc.
sinapses.Prisioneiro;pessoa.possui_salario;Verifica se existe informação sobre salário.
sinapses.Prisioneiro;person.firstnames;Primeiro nome de uma Pessoa
sinapses.Prisioneiro;pessoa.procedencia;Procedência do indivíduo
sinapses.Prisioneiro;pessoa.procon;Informacoes do PROCON
sinapses.Prisioneiro;pessoa.profissao;Atividade profissional exercida.
sinapses.Prisioneiro;person.qtd_processos;Quantidade de processos judiciais ou administrativos relacionados.
sinapses.Prisioneiro;pessoa.qualidade;Características ou atributos específicos da pessoa.
sinapses.Prisioneiro;pessoa.qualificação_societária;Qualificação do sócio em uma empresa
sinapses.Prisioneiro;pessoa.razao_social;Razão Social da Empresa
sinapses.Prisioneiro;pessoa.recaptura;Detalhes sobre eventuais processos de recaptura associados à pessoa.
sinapses.Prisioneiro;prisioneiro.regime;Categoria do regime penal aplicado.
sinapses.Prisioneiro;pessoa.regime_de_tributacao;Um sistema que estabelece a cobrança de impostos de cada CNPJ.
sinapses.Prisioneiro;pessoa.regime_de_pagamento;Sistema utilizado para quitar obrigações financeiras.
sinapses.Prisioneiro;pessoa.regimebens; Termos legais que regem a propriedade dos bens em um casamento.
sinapses.Prisioneiro;pessoa.unidade_regional_tributaria;Unidade Regional Tributária a qual o profissional está registrado ou associado.
sinapses.Prisioneiro;pessoa.renach;Registro Nacional de Carteira de Habilitacao.
sinapses.Prisioneiro;pessoa.renda_estimada;Estimativa de renda.
sinapses.Prisioneiro;pessoa.renda_presumida;Renda presumida.
sinapses.Prisioneiro;pessoa.restricoes_medicas;Indica se a pessoa possui restrições médicas.
sinapses.Prisioneiro;pessoa.rg;Documento oficial brasileiro para identificação pessoal.
sinapses.Prisioneiro;pessoa.rg_pm;Número de identificação da Polícia Militar.
sinapses.Prisioneiro;pessoa.rne;Identificação para estrangeiros residentes no Brasil.
sinapses.Prisioneiro;pessoa.secret;Chave secreta para operações de segurança interna e autenticação.
sinapses.Prisioneiro;pessoa.serie_ctps;Número de Série da Carteira de Trabalho e Previdência Social
sinapses.Prisioneiro;pessoa.sexo;Gênero biológico da pessoa.
sinapses.Prisioneiro;pessoa.sigilo;Classificação de confidencialidade do registro.
sinapses.Prisioneiro;pessoa.signo;Signo zodiacal.
sinapses.Prisioneiro;pessoa.simples_nacional;Regime simplificado e unificado de arrecadação
sinapses.Prisioneiro;base_entity.sinapses_adicionais;
sinapses.Prisioneiro;pessoa.sindactilia_d;Descreve a fusão dos dedos na mão direita.
sinapses.Prisioneiro;pessoa.sindactilia_e;Descreve a fusão dos dedos na mão esquerda
sinapses.Prisioneiro;prisioneiro.situacao;Descrição breve do status legal presente.
sinapses.Prisioneiro;pessoa.situacao_atual;Situação atual sobre o emprego da Pessoa.
sinapses.Prisioneiro;pessoa.situacao_cadastral_vigente;Informações sobre a situação econômica, financeira ou fiscal do titular do CPF.
sinapses.Prisioneiro;pessoa.situacao_do_cpf;Nenhuma pendência no cadastro do contribuinte.
sinapses.Prisioneiro;person.lastname;Sobrenome de uma Pessoa.
sinapses.Prisioneiro;pessoa.status_receita;Situação fiscal na Receita Federal.
sinapses.Prisioneiro;pessoa.tatuagens;Desenhos corporais para identificação.
sinapses.Prisioneiro;pessoa.tel_id;Identificador exclusivo associado ao telefone da pessoa.
sinapses.Prisioneiro;pessoa.tipo_do_contribuinte;Classificação quanto ao tipo de contribuição do profissional.
sinapses.Prisioneiro;pessoa.tipo_pis_pasep;Categoria ou variação do programa PIS/PASEP ao qual a pessoa está vinculada.
sinapses.Prisioneiro;pessoa.tipo_sanguineo;Grupo sanguíneo da pessoa.
sinapses.Prisioneiro;pessoa.titulo_eleitor;Identificação para participação em processos eleitorais.
sinapses.Prisioneiro;pessoa.total_credito;Soma total das movimentações de crédito realizadas pela pessoa.
sinapses.Prisioneiro;pessoa.total_debito;Soma total das movimentações de débito realizadas pela pessoa.
sinapses.Prisioneiro;pessoa.uf;Unidade Federativa
sinapses.Prisioneiro;pessoa.uf_cnh;Estado emissor da licença de motorista.
sinapses.Prisioneiro;pessoa.uf_ctps;Estado da Carteira de Trabalho e Previdência Social
sinapses.Prisioneiro;pessoa.uf_de_nascimento;Indica a UF onde a pessoa nasceu
sinapses.Prisioneiro;pessoa.uf_outro_documento;Estado brasileiro onde o documento adicional foi emitido.
sinapses.Prisioneiro;pessoa.uf_do_rg;Estado emissor do documento de identidade.
sinapses.Prisioneiro;prisioneiro.ultima_prisao;Informação sobre a última vez que foi detido.
sinapses.Prisioneiro;pessoa.ultima_situacao;Registro mais recente da condição legal ou comercial da pessoa ou empresa.
sinapses.Prisioneiro;pessoa.ultimo_salario;Valor mais recente do salário registrado.
sinapses.Prisioneiro;base_entity.base_de_origem;Identificação da base ou contexto original de onde a entidade foi gerada.
sinapses.Prisioneiro;pessoa.vulgo;Nome pelo qual a pessoa é conhecida popularmente, diferente do nome legal.
sinapses.Prisioneiro;pessoa.zona;Zona eleitoral.
sinapses.Empenho;base_entity.hash;Hash alfanumérico para verificação de integridade e identificação rápida.
sinapses.Empenho;empenho.acao;Atividade ou conjunto de atividades executadas para alcançar um objetivo específico.
sinapses.Empenho;empenho.acrescimo;Valor acrescentado ao empenho
sinapses.Empenho;empenho.ano;Ano de execução do empenho.
sinapses.Empenho;empenho.ano_referencia;Ano fiscal em que em que os recursos foram alocados.
sinapses.Empenho;empenho.anulado;Valor anulado do empenho
sinapses.Empenho;base_entity.busca_original;Termo ou consulta original que resultou na criação desta entidade.
sinapses.Empenho;empenho.categoria;Classificação que indica se a despesa é corrente ou de capital.
sinapses.Empenho;empenho.codigo_acao;Código do tipo da ação.
sinapses.Empenho;empenho.codigo_fonte_de_recurso;Código da fonte do recurso.
sinapses.Empenho;empenho.codigo_municipio;Código do Município.
sinapses.Empenho;empenho.codigo_orgao_contrato;Código do orgão responsável pelo contrato.
sinapses.Empenho;empenho.codigo_do_orgao_demandante;Código do orgão demandante
